Player	rawLapTime	distanceScore	lapTime	isLapCompleted	isTimeout	trackLimitsViolation	collisionViolation
20240127035852_seigot_main_20240127_1400_external_target_vel_0.1_4_1_20.patch	217.3638	2.4866786	667.3638	false	false	[  22,  36,  15,  1,  0]	[  0,  0,  0,  0]
20240127040718_seigot_main_20240127_1400_external_target_vel_0.1_4_1_20.patch	134.5873	0.8880995	289.58728	false	false	[  9,  12,  4,  1,  0]	[  0,  0,  0,  0]
20240127041753_seigot_main_20240127_1400_external_target_vel_0.1_4_1_20.patch	294.589874	100	774.589844	true	false	[  30,  42,  12,  0,  0]	[  0,  0,  0,  0]
20240127042448_seigot_main_20240127_1400_external_target_vel_0.1_4_1_20.patch	74.2604446	1.776199	244.260437	false	false	[  9,  13,  5,  1,  0]	[  0,  0,  0,  0]
20240127043954_seigot_main_20240127_1400_external_target_vel_0.1_4_1_20.patch	562.3684	0.0888099447	1692.36841	false	false	[  72,  98,  27,  1,  0]	[  0,  0,  0,  0]
20240127044739_seigot_main_20240127_1400_external_target_vel_0.1_4_1_20.patch	111.068214	2.2202487	426.0682	false	false	[  10,  23,  14,  1,  0]	[  0,  0,  0,  0]
20240127050024_seigot_main_20240127_1400_external_target_vel_0.1_4_1_20.patch	422.803253	100	1332.80322	true	false	[  61,  81,  20,  0,  0]	[  0,  0,  0,  0]
