Player	rawLapTime	distanceScore	lapTime	isLapCompleted	isTimeout	trackLimitsViolation	collisionViolation
20240130053529_seigot_main_20240127_1400_external_target_vel_0.1_4_gear54_108.patch	584.6732	0.355239779	1744.67322	false	true	[  74,  102,  28,  0,  0]	[  0,  0,  0,  0]
20240130054335_seigot_main_20240127_1400_external_target_vel_0.1_4_gear54_108.patch	120.077263	1.687389	165.077271	false	false	[  0,  3,  3,  0,  0]	[  0,  0,  0,  0]
20240130055910_seigot_main_20240127_1400_external_target_vel_0.1_4_gear54_108.patch	584.890747	1.06571937	1529.89075	false	true	[  81,  90,  9,  0,  0]	[  0,  0,  0,  0]
20240130060905_seigot_main_20240127_1400_external_target_vel_0.1_4_gear54_108.patch	236.005554	3.641208	726.005554	false	false	[  23,  39,  17,  1,  0]	[  0,  0,  0,  0]
20240130062440_seigot_main_20240127_1400_external_target_vel_0.1_4_gear54_108.patch	584.7276	0.9769094	1589.72754	false	true	[  93,  98,  5,  0,  0]	[  0,  0,  0,  0]
20240130063436_seigot_main_20240127_1400_external_target_vel_0.1_4_gear54_108.patch	241.87233	100	661.8723	true	false	[  30,  38,  8,  0,  0]	[  0,  0,  0,  0]
20240130065041_seigot_main_20240127_1400_external_target_vel_0.1_4_gear54_108.patch	584.4174	1.2433393	1629.41748	false	true	[  73,  94,  21,  0,  0]	[  0,  0,  0,  0]
