Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230817041658_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv7.patch	-1	-1	-1	false	false	false	false	false	false	false
20230817042240_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv7.patch	117.848	111.955	67.9998	true	false	true	false	false	true	false
20230817043004_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv7.patch	-1	-1	-1	false	false	false	false	false	false	false
20230817043727_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv7.patch	-1	-1	-1	false	false	false	false	false	false	false
20230817044310_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv7.patch	53.1187	50.4628	23.2	false	false	true	false	false	true	false
20230817045034_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv7.patch	-1	-1	-1	false	false	false	false	false	false	false
20230817045758_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv7.patch	-1	-1	-1	false	false	false	false	false	false	false
