Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20231105042240_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_5.py.patch	37.4571	37.4571	269.8	false	true	false	false	true	true	false
20231105043137_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_5.py.patch	118.362	118.362	68.9999	false	false	true	false	true	true	false
20231105044035_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_5.py.patch	37.5153	37.5153	271.001	false	true	false	false	true	true	false
20231105044932_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_5.py.patch	27.7072	27.7072	0	false	true	false	false	true	true	false
20231105045830_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_5.py.patch	47.3368	47.3368	271.4	false	true	false	false	true	true	false
20231105050727_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_5.py.patch	37.5559	37.5559	271.598	false	true	false	false	true	true	false
20231105051625_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_5.py.patch	49.0424	49.0424	271.799	false	true	false	false	true	true	false
