Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230817032820_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv6.patch	-1	-1	-1	false	false	false	false	false	false	false
20230817033544_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv6.patch	-1	-1	-1	false	false	false	false	false	false	false
20230817034308_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv6.patch	-1	-1	-1	false	false	false	false	false	false	false
20230817035032_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv6.patch	-1	-1	-1	false	false	false	false	false	false	false
20230817035615_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv6.patch	116.809	110.968	70.7998	true	false	false	false	false	true	false
20230817040157_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv6.patch	116.891	111.047	70.5968	true	false	false	false	false	true	false
20230817040921_seigot_main_20230816_1330_tamani-souha_v4_acc_jerk2_leftdrivablebound_collisionbuffer0.1_motionvelocitysmootherv6.patch	-1	-1	-1	false	false	false	false	false	false	false
