Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230831103147_seigot_main_20230828_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_16.patch	135.607	135.607	92.2002	true	false	false	false	true	true	false
20230831104044_seigot_main_20230828_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_16.patch	144.961	144.961	94.9999	true	false	false	false	true	true	false
20230831104942_seigot_main_20230828_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_16.patch	37.6143	37.6143	273.4	false	true	false	false	true	true	false
20230831105839_seigot_main_20230828_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_16.patch	144.969	144.969	95.1999	true	false	false	false	true	true	false
20230831110737_seigot_main_20230828_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_16.patch	37.4182	37.4182	271.4	false	true	false	false	true	true	false
20230831111634_seigot_main_20230828_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_16.patch	145.102	145.102	87.3999	true	false	false	false	true	true	false
20230831112532_seigot_main_20230828_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_16.patch	145.014	145.014	93.8017	true	false	false	false	true	true	false
