Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20230903125717_seigot_main_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_18_animation_false_plus_setup_01.py.patch	37.577	37.577	271.201	false	true	false	false	true	true	false
20230903010615_seigot_main_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_18_animation_false_plus_setup_01.py.patch	144.973	144.973	109.606	true	false	false	false	true	true	false
20230903011512_seigot_main_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_18_animation_false_plus_setup_01.py.patch	37.5386	37.5386	271.407	false	true	false	false	true	true	false
20230903012410_seigot_main_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_18_animation_false_plus_setup_01.py.patch	37.5862	37.5862	271.6	false	true	false	false	true	true	false
20230903013307_seigot_main_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_18_animation_false_plus_setup_01.py.patch	145.448	145.448	102.203	true	false	false	false	true	true	false
20230903014205_seigot_main_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_18_animation_false_plus_setup_01.py.patch	142.078	142.078	90.1999	true	false	false	false	true	true	false
20230903015103_seigot_main_20230831_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_18_animation_false_plus_setup_01.py.patch	68.4032	68.4032	271.607	false	true	false	false	true	true	false
