Player	rawDistanceSocre	distanceScore	task3Duration	isOutsideLane	isTimeout	hasCollided	hasExceededSpeedLimit	hasFinishedTask1	hasFinishedTask2	hasFinishedTask3
20231104120948_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_1.py.patch	37.4007	37.4007	271.4	false	true	false	false	true	true	false
20231104121845_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_1.py.patch	27.6993	27.6993	0	false	true	false	false	true	true	false
20231104122743_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_1.py.patch	144.887	144.887	117	true	false	false	false	true	true	false
20231104123640_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_1.py.patch	37.697	37.697	271.6	false	true	false	false	true	true	false
20231104124538_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_1.py.patch	39.3191	39.3191	271.4	false	true	false	false	true	true	false
20231104125435_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_1.py.patch	47.445	47.445	271.4	false	true	false	false	true	true	false
20231104010333_seigot_main_20231103_with_crank_drive_planner_radius_4.5_start_megin0.1_sharp_dist_threshold_19_animation_false_plus_setup_01_1.py.patch	27.7059	27.7059	0	false	true	false	false	true	true	false
